GSE_ID,GSM_ID,GPL,title,MTHFR,TYMS,MTR,MTRR,CYP1A1,GSTM1,GSTT1,GSTP1,TLR2,TLR4,TLR7,TLR9,STAT4
GSE38351,GSM940504,GPL570,Monocytes from healthy donor number 7 stimulated with IFNγ for 1.5 hour,228.51999999999998,8.766666666666666,184.8,351.3,10.2,74.5,7.5,4076.0,4960.5,683.4499999999999,564.7,16.0,75.7
GSE38351,GSM940505,GPL570,Monocytes from healthy donor number 1 incubated for 1.5 hour without any stimulation,128.21999999999997,6.866666666666667,163.6,311.2,3.7,364.4,67.25,2844.6,2684.8,733.1500000000001,299.15,38.8,43.9
GSE38351,GSM940506,GPL570,Monocytes from healthy donor number 2 incubated for 1.5 hour without any stimulation,144.48,7.433333333333333,220.45,255.10000000000002,5.1,77.05000000000001,52.0,4161.6,2571.7,426.59999999999997,146.6,33.7,59.1
GSE38351,GSM940507,GPL570,Monocytes from healthy donor number 3 incubated for 1.5 hour without any stimulation,104.47999999999999,4.766666666666667,205.85,303.55,3.6,53.8,6.55,3422.0,2953.9,610.125,171.65,27.3,180.1
GSE38351,GSM940508,GPL570,Monocytes from healthy donor number 4 incubated for 1.5 hour without any stimulation,113.04,6.8999999999999995,222.5,236.95,4.0,80.95,78.10000000000001,4279.9,3787.5,567.875,323.1,16.2,57.8
GSE38351,GSM940509,GPL570,Monocytes from healthy donor number 5 incubated for 1.5 hour without any stimulation,104.98000000000002,6.933333333333334,206.7,321.4,10.6,57.9,36.400000000000006,3638.8,2701.0,690.1999999999999,334.1,3.6,60.1
GSE38351,GSM940510,GPL570,Monocytes from healthy donor number 6 incubated for 1.5 hour without any stimulation,70.42,15.666666666666666,193.45,258.05,24.9,99.35,43.8,3624.3,2530.5,701.3,296.8,20.2,38.7
GSE38351,GSM940511,GPL570,Monocytes from healthy donor number 7 incubated for 1.5 hour without any stimulation,63.94,10.866666666666667,187.85000000000002,289.5,5.1,191.4,59.15,3378.1,4104.5,551.875,108.45,23.9,23.3
GSE38351,GSM940512,GPL570,Monocytes from healthy donor number 8 incubated for 1.5 hour without any stimulation,110.0,20.666666666666664,248.95000000000002,298.85,5.8,98.15,6.8999999999999995,2865.8,2569.7,508.70000000000005,307.6,22.4,104.3
GSE38351,GSM940513,GPL570,Monocytes from healthy donor number 9 incubated for 1.5 hour without any stimulation,119.54,12.0,222.65,265.2,2.5,109.5,54.3,3857.6,5399.0,585.15,185.5,17.5,31.9
